Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Kevin Pillar","CHW",17,32,1,1,4,2,0.125,0.25,0.2,0.176470588,0.16,0.29032258,0.36,0.28764287117988835,,85.61331906851927,0.44248753041028976,-0.08427660393955583,0.4992024749517441,0.15302275616068084,"Kevin Pillar",12434,607680
2023,"Drew Ellis","PHI",12,29,2,4,4,0,0.206896551,0.24137931,0.260869565,0.214285714,0.217391304,0.379310344,0.478260869,0.37349028422914704,,135.32676367785288,-0.49587459629401565,0.77329689689258,-0.2251269333064556,0.15291621882151396,"Drew Ellis",19873,656403
2018,"Salvador Perez","KCR",129,544,27,52,80,1,0.03125,0.198529411,0.203921569,0.244736842,0.235294117,0.273897058,0.439215686,0.30413776471772613,,88.40156465627808,-4.585156836314127,-12.127945861572728,-4.945446729660034,0.15278621281424393,"Salvador Perez",7304,521692
2019,"Andrew Knapp","PHI",74,160,2,12,8,0,0.1125,0.31875,0.110294117,0.325301204,0.213235294,0.318471337,0.323529411,0.2818344558438947,,69.42066315489748,-0.010436403565108776,-6.465695957592898,2.925179861485958,0.1515524841263416,"Andrew Knapp",14942,595284
2019,"Chad Wallach","MIA",19,54,1,4,3,0,0.111111111,0.222222222,0.125,0.314285714,0.25,0.333333333,0.375,0.30903988635098495,,92.65550146588053,-0.35157795436680317,-0.8748428159651648,0.6938248872756958,0.1496273839265234,"Chad Wallach",17161,595453
2024,"Diego A. Castillo","MIN",4,8,0,3,2,0,0.25,0.125,0.166666667,0.4,0.333333333,0.5,0.5,0.4393022879958153,,193.48081009984008,0.1633552387356758,1.0190484011316874,0.15757427364587784,0.14906145699571793,"Diego A. Castillo",19906,660636
2020,"Cameron Maybin","CHC",18,56,0,3,5,3,0.053571428,0.214285714,0.115384615,0.325,0.25,0.303571428,0.365384615,0.2927787985120501,,81.41396882542642,1.246647598221898,-0.08318870978929782,-0.8442605882883072,0.14852692180567362,"Cameron Maybin",5223,457727
2022,"Charlie Blackmon","COL",135,577,16,60,78,4,0.055459272,0.188908145,0.154716981,0.303921568,0.264150943,0.314136125,0.418867924,0.31706286775625864,,90.85542462739076,0.7466646153479815,-5.383691771601939,-13.064773559570312,0.14711342567039143,"Charlie Blackmon",7859,453568
2021,"Mauricio Dubón","SFG",74,187,5,20,22,2,0.048128342,0.219251336,0.137142857,0.282442748,0.24,0.278074866,0.377142857,0.2777562653696215,,75.09146252665634,-1.5670831883326173,-7.4968426775789085,2.6823225021362305,0.14629613809973052,"Mauricio Dubon",16530,643289
2020,"Ben Gamel","MIL",40,127,3,13,10,0,0.102362204,0.307086614,0.166666666,0.333333333,0.236842105,0.314960629,0.403508771,0.3127773812436682,,93.79713603836868,-2.818483551964164,-3.824996753146591,-0.23935437202453613,0.1461147983783004,"Ben Gamel",12160,592325
