Season,Name,Team,Age,G,PA,HR,R,RBI,SB,AVG,BB%,K%,OBP,SLG,ISO,BABIP,wOBA,WAR,wRC+,BsR,Def,Off,xwOBA,NameASCII,PlayerId,MLBAMID
2024,"David Peralta","SDP",36,91,260,8,35,28,2,0.266949152,0.084615384,0.207692307,0.334615384,0.415254237,0.148305085,0.316091954,0.32920125952133766,0.4325909061764139,114.91838805918708,-0.5849958062171936,-8.522922039031982,4.053279601433849,,"David Peralta",2136,444482
2024,"Carlos Santana","MIN",38,150,594,23,63,71,4,0.238003838,0.109427609,0.166666666,0.328282828,0.420345489,0.182341651,0.251870324,0.32645044845171184,3.019100983460901,114.09852154200696,-0.9376297667622566,0.7869558334350586,8.644578912590088,,"Carlos Santana",2396,467793
2024,"Tommy Pham","- - -",36,116,478,9,49,39,7,0.247727272,0.073221757,0.221757322,0.30543933,0.368181818,0.120454546,0.306748466,0.29656240730604866,-0.07741916470367827,90.89166733894564,-3.1329707205295563,-8.50268304347992,-8.17866049702564,,"Tommy Pham",2967,502054
2024,"Anthony Rizzo","NYY",34,92,375,8,38,35,0,0.228486646,0.072,0.173333333,0.301333333,0.335311572,0.106824926,0.259398496,0.2847893614768982,-0.24832998400397188,84.11102083124227,-2.8095961436629295,-5.278091669082642,-9.627217397445015,,"Anthony Rizzo",3473,519203
2024,"Jason Heyward","- - -",34,87,258,10,33,37,5,0.210526315,0.085271317,0.205426356,0.287937743,0.412280701,0.201754386,0.226190476,0.30021066759146897,0.8334425927937282,94.32505667309476,2.631376974284649,-1.3904671669006348,0.866619100407837,,"Jason Heyward",4940,518792
2024,"Giancarlo Stanton","NYY",34,114,459,27,49,72,0,0.232613908,0.082788671,0.31154684,0.298474945,0.474820143,0.242206235,0.281124497,0.3298972602485306,0.7746537993561937,115.84083800562564,-4.345114529132843,-11.774690628051758,3.974370520638221,,"Giancarlo Stanton",4949,519317
2024,"Justin Turner","- - -",39,139,539,11,59,55,0,0.258695652,0.109461966,0.176252319,0.354359925,0.382608695,0.123913043,0.299168975,0.32655321508368523,1.180083575805274,116.63779364930163,-4.499692127108574,-12.302853509783745,5.761317763043444,,"Justin Turner",5235,457759
2024,"Robbie Grossman","- - -",34,87,245,3,21,16,3,0.211538461,0.13877551,0.236734693,0.322448979,0.29326923,0.081730769,0.275167785,0.283393846725931,-0.5687329521326132,82.27389488393509,-0.17221811320632696,-8.532632738351822,-5.141401356864552,,"Robbie Grossman",5254,543257
2024,"Aaron Hicks","LAA",34,18,63,1,6,5,0,0.140350877,0.095238095,0.365079365,0.222222222,0.192982456,0.052631579,0.212121212,0.196132863324786,-0.516357461963737,19.982589648980827,0.16184667497873306,-1.4936110973358154,-5.606225005619546,,"Aaron Hicks",5297,543305
2024,"Brandon Crawford","STL",37,29,80,1,5,4,0,0.169014084,0.1,0.325,0.2625,0.28169014,0.112676056,0.25,0.24806679859757425,0.1392976900721956,58.100342758658805,0.09514119476079941,2.597860813140869,-3.913172860875969,,"Brandon Crawford",5343,543063
2024,"Freddie Freeman","LAD",34,147,638,22,81,89,9,0.282287822,0.122257053,0.156739811,0.377742946,0.47601476,0.193726938,0.306074766,0.36535710949207906,4.048719240470431,137.2753370528749,-1.4341400936245918,-9.047943234443665,27.004154071929534,,"Freddie Freeman",5361,518692
2024,"Jose Altuve","HOU",34,153,682,20,94,65,22,0.294585987,0.068914956,0.174486803,0.350439882,0.439490445,0.144904458,0.337423312,0.344237520589548,3.9295606708891366,127.47955141816854,-0.7236223965883255,-5.406420111656189,20.720072577093614,,"Jose Altuve",5417,514888
2024,"Kyle Higashioka","SDP",34,84,263,17,29,45,2,0.219512195,0.05703422,0.281368821,0.263358778,0.475609756,0.256097561,0.237179487,0.31389006608315095,1.5543685333246406,104.61290535193828,-1.155170999467373,5.996636152267456,0.29557565149492415,,"Kyle Higashioka",5517,543309
2024,"Avisaíl García","MIA",33,18,51,2,4,2,0,0.24,0.019607843,0.25490196,0.25490196,0.38,0.14,0.285714285,0.2740822633107503,-0.01312300348167865,71.5206967084512,0.004113532602787018,-0.09268566966056824,-1.7327305011256324,,"Avisail Garcia",5760,541645
2024,"Wilmer Flores","SFG",32,71,242,4,19,26,0,0.205607476,0.082644628,0.136363636,0.276859504,0.317757009,0.112149533,0.219780219,0.26221476254126835,-0.6685420229875809,68.12208676001606,-1.0345219820737839,-4.272561341524124,-10.25952537718088,,"Wilmer Flores",5827,527038
2024,"J.D. Martinez","NYM",36,120,495,16,46,69,0,0.235023041,0.098989898,0.284848484,0.3197556,0.405529953,0.170506912,0.308243727,0.3184588671701746,0.6175984553790597,107.52486132501862,-2.3192809522151947,-12.638888359069824,2.134870541440904,,"J.D. Martinez",6184,502110
2024,"Martín Maldonado","CHW",37,48,147,4,9,11,0,0.118518518,0.054421768,0.346938775,0.173611111,0.229629629,0.111111111,0.15,0.18146122909254497,-1.5008291064715649,10.922983618312015,-1.4356775134801865,-3.013967990875244,-16.418326469943672,,"Martin Maldonado",6887,455117
2024,"Salvador Perez","KCR",34,158,652,27,58,104,0,0.27118644,0.067484662,0.19785276,0.330261136,0.455932203,0.184745763,0.302272727,0.33502383720466283,3.1792746450599467,114.98462991383784,-5.624968536198139,3.4950411319732666,5.553935407678878,,"Salvador Perez",7304,521692
2024,"Travis d'Arnaud","ATL",35,99,341,15,40,48,1,0.237785016,0.070381231,0.260997067,0.302052785,0.436482084,0.198697068,0.280193236,0.31879015821865225,1.8408857415357485,103.04128384158486,-1.2153204530477524,6.44414883852005,0.02482497893736957,,"Travis d'Arnaud",7739,518595
